WEEKDAY,TIME,DATA,PREDICTDATA
WED,13:45:00,58,58.93
WED,13:51:00,468,58.93
WED,13:55:00,58,58.93
WED,14:01:00,58,58.93
WED,14:05:00,117,58.93
WED,14:11:00,58,761.11
WED,14:15:00,58,761.11
WED,14:20:00,58,761.11
WED,14:25:00,1228,409.59
WED,14:30:00,58,761.11
WED,14:35:00,1287,58.93
WED,14:40:00,58,58.93
WED,14:45:00,58,58.93
WED,14:50:00,585,58.93
WED,14:56:00,58,58.93
WED,15:01:00,117,58.93
WED,15:05:00,468,58.93
WED,15:10:00,58,58.93
WED,15:15:00,58,58.93
WED,15:20:00,117,58.93
WED,15:26:00,58,58.93
WED,15:30:00,58,58.93
WED,15:35:00,58,58.93
WED,15:40:00,1521,58.93
WED,15:45:00,58,58.93
WED,15:50:00,58,58.93
WED,15:55:00,58,58.93
WED,16:00:00,117,58.93
WED,16:06:00,117,58.93
WED,16:10:00,58,58.93
WED,16:16:00,58,58.93
WED,16:20:00,234,58.93
WED,16:25:00,58,58.93
WED,16:31:00,58,58.93
WED,16:35:00,292,58.93
WED,16:41:00,58,58.93
WED,16:45:00,117,58.93
WED,16:50:00,585,58.93
WED,16:55:00,409,58.93
WED,17:01:00,58,58.93
WED,17:05:00,58,58.93
WED,17:10:00,1111,58.93
WED,17:15:00,117,58.93
WED,17:20:00,58,58.93
WED,17:25:00,58,58.93
WED,17:30:00,58,58.93
WED,17:35:00,117,58.93
WED,17:41:00,58,58.93
WED,17:45:00,58,58.93
WED,17:50:00,58,58.93
WED,17:56:00,117,58.93
WED,18:00:00,1111,58.93
WED,18:06:00,1111,58.93
WED,18:10:00,58,58.93
WED,18:15:00,58,58.93
WED,18:20:00,117,58.93
WED,18:26:00,58,58.93
WED,18:30:00,58,58.93
WED,18:35:00,58,58.93
WED,18:40:00,58,58.93
WED,18:45:00,58,58.93
WED,18:50:00,58,58.93
WED,18:56:00,58,58.93
WED,19:01:00,58,58.93
WED,19:05:00,58,58.93
WED,19:10:00,58,58.93
WED,19:16:00,58,58.93
WED,19:20:00,877,58.93
WED,19:25:00,58,58.93
WED,19:30:00,58,58.93
WED,19:36:00,292,58.93
WED,19:40:00,58,58.93
WED,19:45:00,58,58.93
WED,19:50:00,58,58.93
WED,19:55:00,292,58.93
WED,20:00:00,58,58.93
WED,20:06:00,58,58.93
WED,20:11:00,58,58.93
WED,20:15:00,117,58.93
