WEEKDAY,TIME,DATA,PREDICTDATA
WED,14:05:00,1693,1721.4
WED,14:11:00,1693,1721.4
WED,14:15:00,1688,1721.4
WED,14:20:00,1691,1721.4
WED,14:25:00,1688,1721.4
WED,14:30:00,1683,1721.4
WED,14:35:00,1697,1721.4
WED,14:40:00,1686,1721.4
WED,14:45:00,1693,1721.4
WED,14:50:00,1699,1721.4
WED,14:56:00,1697,1721.4
WED,15:01:00,1686,1721.4
WED,15:05:00,1696,1721.4
WED,15:10:00,1697,1721.4
WED,15:15:00,1697,1721.4
WED,15:20:00,1705,1721.4
WED,15:26:00,1701,1721.4
WED,15:30:00,1702,1721.4
WED,15:35:00,1701,1721.4
WED,15:40:00,1700,1721.4
WED,15:45:00,1700,1721.4
WED,15:50:00,1696,1721.4
WED,15:55:00,1703,1721.4
WED,16:00:00,1691,1721.4
WED,16:06:00,1692,1721.4
WED,16:10:00,1700,1721.4
WED,16:16:00,1699,1721.4
WED,16:20:00,1709,1721.4
WED,16:25:00,1702,1721.4
WED,16:31:00,1701,1721.4
WED,16:35:00,1708,1721.4
WED,16:41:00,1731,1721.4
WED,16:45:00,1708,1721.4
WED,16:50:00,1706,1721.4
WED,16:55:00,1714,1721.4
WED,17:01:00,1699,1721.4
WED,17:05:00,1707,1721.4
WED,17:10:00,1706,1721.4
WED,17:15:00,1707,1721.4
WED,17:20:00,1705,1721.4
WED,17:25:00,1714,1721.4
WED,17:30:00,1705,1721.4
WED,17:35:00,1713,1721.4
WED,17:41:00,1708,1721.4
WED,17:45:00,1713,1721.4
WED,17:50:00,1716,1721.4
WED,17:56:00,1749,1721.4
WED,18:00:00,1737,1721.4
WED,18:06:00,1681,1721.4
WED,18:10:00,1683,1721.4
WED,18:15:00,1681,1721.4
WED,18:20:00,1686,1721.4
WED,18:26:00,1682,1721.4
WED,18:30:00,1677,1721.4
WED,18:35:00,1684,1721.4
WED,18:40:00,1679,1721.4
WED,18:45:00,1691,1721.4
WED,18:50:00,1696,1721.4
WED,18:56:00,1689,1721.4
WED,19:01:00,1684,1721.4
WED,19:05:00,1689,1721.4
WED,19:10:00,1689,1721.4
WED,19:16:00,1685,1721.4
WED,19:20:00,1685,1721.4
WED,19:25:00,1685,1721.4
WED,19:30:00,1687,1721.4
WED,19:36:00,1685,1721.4
WED,19:40:00,1684,1721.4
WED,19:45:00,1685,1721.4
WED,19:50:00,1682,1721.4
WED,19:55:00,1687,1721.4
WED,20:00:00,1686,1721.4
WED,20:06:00,1689,1721.4
WED,20:11:00,1691,1721.4
WED,20:15:00,1689,1721.4
WED,20:21:00,1688,1721.4
WED,20:25:00,1720,1721.4
WED,20:31:00,1760,1721.4
WED,20:36:00,1812,1721.4
WED,20:40:00,1842,1721.4
WED,20:45:00,1857,1721.4
WED,20:50:00,1768,1721.4
WED,20:55:00,1801,1721.4
WED,21:00:00,1775,1721.4
WED,21:05:00,1807,1721.4
WED,21:10:00,1830,1721.4
WED,21:15:00,1855,1810.5
WED,21:20:00,1865,1810.5
WED,21:25:00,1752,1810.5
WED,21:30:00,1757,1810.5
WED,21:35:00,1756,1810.5
WED,21:40:00,1757,1810.5
WED,21:46:00,1763,1721.4
WED,21:51:00,1756,1721.4
WED,21:55:00,1761,1721.4
WED,22:00:00,1728,1721.4
WED,22:05:00,1662,1721.4
WED,22:11:00,1650,1721.4
WED,22:15:00,1654,1721.4
WED,22:20:00,1660,1721.4
WED,22:26:00,1655,1721.4
WED,22:30:00,1657,1721.4
WED,22:35:00,1661,1721.4
WED,22:41:00,1658,1721.4
WED,22:45:00,1661,1613.12
WED,22:50:00,1657,1613.12
WED,22:55:00,1671,1613.12
WED,23:00:00,1699,1613.12
WED,23:05:00,1662,1613.12
WED,23:10:00,1660,1613.12
WED,23:15:00,1662,1613.12
WED,23:20:00,1668,1613.12
WED,23:26:00,1663,1613.12
WED,23:31:00,1710,1613.12
WED,23:35:00,1671,1613.12
WED,23:41:00,1666,1613.12
WED,23:45:00,1664,1613.12
WED,23:50:00,1659,1613.12
WED,23:55:00,1665,1613.12
THU,00:00:00,1669,1613.12
THU,00:05:00,1670,1613.12
THU,00:10:00,1673,1613.12
THU,00:16:00,1663,1613.12
THU,00:20:00,1665,1613.12
THU,00:25:00,1662,1613.12
THU,00:31:00,1662,1613.12
THU,00:36:00,1662,1613.12
THU,00:40:00,1663,1613.12
THU,00:46:00,1661,1613.12
THU,00:50:00,1672,1613.12
THU,00:55:00,1667,1613.12
THU,01:00:00,1663,1613.12
THU,01:06:00,1663,1613.12
THU,01:10:00,1664,1613.12
THU,01:15:00,1666,1613.12
THU,01:20:00,1670,1613.12
THU,01:26:00,1664,1613.12
THU,01:30:00,1664,1613.12
THU,01:36:00,1666,1613.12
THU,01:41:00,1664,1613.12
THU,01:46:00,1662,1613.12
THU,01:50:00,1655,1613.12
THU,01:55:00,1663,1613.12
THU,02:00:00,1637,1613.12
THU,02:05:00,1651,1613.12
THU,02:10:00,1650,1613.12
THU,02:15:00,1656,1613.12
THU,02:20:00,1660,1613.12
